feature,mean_absolute_shap
numerical__major_vessels,1.1663764446731657
categorical__chest_pain_type_4.0,0.48100358036970287
categorical__thalassemia_7.0,0.3850875786672394
categorical__sex_0.0,0.3190106910503565
categorical__sex_1.0,0.31847644050629137
numerical__max_heart_rate,0.3041394360947294
categorical__st_slope_2.0,0.30388573643314337
categorical__thalassemia_3.0,0.2796243164568213
categorical__st_slope_1.0,0.24605694006443204
numerical__resting_blood_pressure,0.23923844610431264
categorical__chest_pain_type_3.0,0.21251456889404471
numerical__st_depression,0.18942484420312353
numerical__cholesterol,0.15348567787680792
categorical__exercise_induced_angina_0.0,0.13024762456675523
categorical__exercise_induced_angina_1.0,0.12971754010565484
categorical__resting_ecg_2.0,0.11565181843754942
categorical__resting_ecg_0.0,0.07772857562304714
numerical__age,0.06820182873686463
categorical__chest_pain_type_1.0,0.0651303395525613
categorical__chest_pain_type_2.0,0.04277005471943464
categorical__thalassemia_6.0,0.03325357261897961
categorical__fasting_blood_sugar_1.0,0.03205003139773799
categorical__fasting_blood_sugar_0.0,0.03174590734127593
categorical__st_slope_3.0,0.01499517554340842
categorical__resting_ecg_1.0,0.00452726257757865
